toad.id,age,task.type,reward.position,choice,latency,trial,lt,learnt,log.latency
MW01,1,association,R,0,433,1,1,1,6.070737728
MW01,1,association,R,0,301,2,1,1,5.707110265
MW01,1,association,R,1,96,3,1,1,4.564348191
MW01,1,association,R,0,77,4,1,1,4.343805422
MW01,1,association,R,1,370,5,1,1,5.913503006
MW01,1,association,R,1,50,6,1,1,3.912023005
MW01,1,association,R,1,40,7,1,1,3.688879454
MW01,1,association,R,1,95,8,1,1,4.553876892
MW01,1,association,R,0,133,9,1,1,4.890349128
MW01,1,association,R,0,24,10,1,1,3.17805383
MW01,1,association,R,1,101,11,1,1,4.615120517
MW01,1,association,R,1,92,12,1,1,4.521788577
MW01,1,association,R,1,420,13,1,1,6.040254711
MW02,1,association,R,1,110,1,1,1,4.700480366
MW02,1,association,R,1,10,2,1,1,2.302585093
MW02,1,association,R,1,10,3,1,1,2.302585093
MW02,1,association,R,1,47,4,1,1,3.850147602
MW02,1,association,R,1,49,5,1,1,3.891820298
MW02,1,association,R,1,240,6,1,1,5.480638923
MW02,1,association,R,1,89,7,1,1,4.48863637
MW03,1,association,L,0,122,1,1,1,4.804021045
MW03,1,association,L,1,36,2,1,1,3.583518938
MW03,1,association,L,0,74,3,1,1,4.304065093
MW03,1,association,L,1,42,4,1,1,3.737669618
MW03,1,association,L,0,108,5,1,1,4.682131227
MW03,1,association,L,0,80,6,1,1,4.382026635
MW03,1,association,L,1,300,7,1,1,5.703782475
MW03,1,association,L,0,64,8,1,1,4.158883083
MW03,1,association,L,1,42,9,1,1,3.737669618
MW03,1,association,L,1,14,10,1,1,2.63905733
MW03,1,association,L,1,23,11,1,1,3.135494216
MW03,1,association,L,1,32,12,1,1,3.465735903
MW03,1,association,L,1,45,13,1,1,3.80666249
MW03,1,association,L,1,77,14,1,1,4.343805422
MW04,1,association,L,0,116,1,1,1,4.753590191
MW04,1,association,L,0,337,2,1,1,5.82008293
MW04,1,association,L,0,63,3,1,1,4.143134726
MW04,1,association,L,1,63,4,1,1,4.143134726
MW04,1,association,L,1,204,5,1,1,5.318119994
MW04,1,association,L,0,78,6,1,1,4.356708827
MW04,1,association,L,1,90,7,1,1,4.49980967
MW04,1,association,L,0,200,8,1,1,5.298317367
MW04,1,association,L,1,132,9,1,1,4.882801923
MW04,1,association,L,0,95,10,1,1,4.553876892
MW04,1,association,L,1,86,11,1,1,4.454347296
MW04,1,association,L,1,57,12,1,1,4.043051268
MW04,1,association,L,1,109,13,1,1,4.691347882
MW04,1,association,L,1,168,14,1,1,5.123963979
MW04,1,association,L,0,289,15,1,1,5.666426688
MW04,1,association,L,1,90,16,1,1,4.49980967
MW04,1,association,L,1,206,17,1,1,5.327876169
MW05,1,association,R,1,NA,1,1,1,NA
MW05,1,association,R,1,46,2,1,1,3.828641396
MW05,1,association,R,1,32,3,1,1,3.465735903
MW05,1,association,R,0,145,4,1,1,4.976733742
MW05,1,association,R,1,59,5,1,1,4.077537444
MW05,1,association,R,0,83,6,1,1,4.418840608
MW05,1,association,R,1,26,7,1,1,3.258096538
MW05,1,association,R,1,57,8,1,1,4.043051268
MW05,1,association,R,1,24,9,1,1,3.17805383
MW05,1,association,R,1,24,10,1,1,3.17805383
MW06,1,association,L,1,128,1,1,1,4.852030264
MW06,1,association,L,1,85,2,1,1,4.442651256
MW06,1,association,L,1,78,3,1,1,4.356708827
MW06,1,association,L,1,130,4,1,1,4.86753445
MW06,1,association,L,1,103,5,1,1,4.634728988
MW06,1,association,L,0,177,6,1,1,5.176149733
MW06,1,association,L,0,47,7,1,1,3.850147602
MW06,1,association,L,1,283,8,1,1,5.645446898
MW06,1,association,L,1,321,9,1,1,5.771441123
MW07,1,association,R,1,250,1,1,1,5.521460918
MW07,1,association,R,0,301,2,1,1,5.707110265
MW07,1,association,R,1,72,3,1,1,4.276666119
MW07,1,association,R,1,63,4,1,1,4.143134726
MW07,1,association,R,1,44,5,1,1,3.784189634
MW07,1,association,R,1,31,6,1,1,3.433987204
MW07,1,association,R,1,288,7,1,1,5.66296048
MW07,1,association,R,1,66,8,1,1,4.189654742
MW07,1,association,R,1,40,9,1,1,3.688879454
MW08,1,association,R,1,54,1,1,1,3.988984047
MW08,1,association,R,0,45,2,1,1,3.80666249
MW08,1,association,R,1,40,3,1,1,3.688879454
MW08,1,association,R,1,11,4,1,1,2.397895273
MW08,1,association,R,1,95,5,1,1,4.553876892
MW08,1,association,R,1,20,6,1,1,2.995732274
MW08,1,association,R,0,101,7,1,1,4.615120517
MW08,1,association,R,1,NA,8,1,1,NA
MW08,1,association,R,1,51,9,1,1,3.931825633
MW09,1,association,L,1,NA,1,1,1,NA
MW09,1,association,L,1,188,2,1,1,5.236441963
MW09,1,association,L,1,138,3,1,1,4.927253685
MW09,1,association,L,1,150,4,1,1,5.010635294
MW09,1,association,L,1,346,5,1,1,5.846438775
MW09,1,association,L,1,362,6,1,1,5.891644212
MW09,1,association,L,1,53,7,1,1,3.970291914
MW09,1,association,L,1,49,8,1,1,3.891820298
MW10,1,association,L,1,339,1,1,1,5.826000107
MW10,1,association,L,1,123,2,1,1,4.812184355
MW10,1,association,L,1,109,3,1,1,4.691347882
MW10,1,association,L,1,101,4,1,1,4.615120517
MW10,1,association,L,1,41,5,1,1,3.713572067
MW10,1,association,L,1,74,6,1,1,4.304065093
MW10,1,association,L,0,166,7,1,1,5.111987788
MW10,1,association,L,1,145,8,1,1,4.976733742
MW11,1,association,R,1,301,1,1,1,5.707110265
MW11,1,association,R,1,41,2,1,1,3.713572067
MW11,1,association,R,1,330,3,1,1,5.799092654
MW11,1,association,R,1,23,4,1,1,3.135494216
MW11,1,association,R,1,54,5,1,1,3.988984047
MW11,1,association,R,1,53,6,1,1,3.970291914
