"toad.id","age","task.type","reward.position","choice","latency","trial","lt","learnt","log.latency"
"MW01","1","reversal","L","1",64,1,1,"1",4.15888308335967
"MW01","1","reversal","L","0",109,2,1,"1",4.69134788222914
"MW01","1","reversal","L","1",63,3,1,"1",4.14313472639153
"MW01","1","reversal","L","0",74,4,1,"1",4.30406509320417
"MW01","1","reversal","L","1",NA,5,1,"1",NA
"MW01","1","reversal","L","1",39,6,1,"1",3.66356164612965
"MW01","1","reversal","L","1",64,7,1,"1",4.15888308335967
"MW01","1","reversal","L","1",42,8,1,"1",3.73766961828337
"MW01","1","reversal","L","1",32,9,1,"1",3.46573590279973
"MW02","1","reversal","L","0",78,1,1,"1",4.35670882668959
"MW02","1","reversal","L","0",23,2,1,"1",3.13549421592915
"MW02","1","reversal","L","0",72,3,1,"1",4.27666611901606
"MW02","1","reversal","L","1",46,4,1,"1",3.8286413964891
"MW02","1","reversal","L","0",28,5,1,"1",3.3322045101752
"MW02","1","reversal","L","1",34,6,1,"1",3.52636052461616
"MW02","1","reversal","L","1",46,7,1,"1",3.8286413964891
"MW02","1","reversal","L","0",98,8,1,"1",4.58496747867057
"MW02","1","reversal","L","1",363,9,1,"1",5.89440283426485
"MW02","1","reversal","L","0",109,10,1,"1",4.69134788222914
"MW02","1","reversal","L","1",33,11,1,"1",3.49650756146648
"MW02","1","reversal","L","1",68,12,1,"1",4.21950770517611
"MW02","1","reversal","L","1",103,13,1,"1",4.63472898822964
"MW02","1","reversal","L","1",64,14,1,"1",4.15888308335967
"MW03","1","reversal","R","0",63,1,1,"1",4.14313472639153
"MW03","1","reversal","R","0",NA,2,1,"1",NA
"MW03","1","reversal","R","0",NA,3,1,"1",NA
"MW03","1","reversal","R","1",71,4,1,"1",4.26267987704132
"MW03","1","reversal","R","1",52,5,1,"1",3.95124371858143
"MW03","1","reversal","R","0",182,6,1,"1",5.2040066870768
"MW03","1","reversal","R","0",60,7,1,"1",4.0943445622221
"MW03","1","reversal","R","0",87,8,1,"1",4.46590811865458
"MW03","1","reversal","R","0",40,9,1,"1",3.68887945411394
