toad.id,sex,age,task.type,reward.position,choice,latency,trial,lt,learnt
MW01,1,A,association,R,0,433,1,1,1
MW01,1,A,association,R,0,301,2,1,1
MW01,1,A,association,R,1,96,3,1,1
MW01,1,A,association,R,0,77,4,1,1
MW01,1,A,association,R,1,370,5,1,1
MW01,1,A,association,R,1,50,6,1,1
MW01,1,A,association,R,1,40,7,1,1
MW01,1,A,association,R,1,95,8,1,1
MW01,1,A,association,R,0,133,9,1,1
MW01,1,A,association,R,0,24,10,1,1
MW01,1,A,association,R,1,101,11,1,1
MW01,1,A,association,R,1,92,12,1,1
MW01,1,A,association,R,1,420,13,1,1
MW02,1,A,association,R,1,110,1,1,1
MW02,1,A,association,R,1,10,2,1,1
MW02,1,A,association,R,1,10,3,1,1
MW02,1,A,association,R,1,47,4,1,1
MW02,1,A,association,R,1,49,5,1,1
MW02,1,A,association,R,1,240,6,1,1
MW02,1,A,association,R,1,89,7,1,1
MW03,1,A,association,L,0,122,1,1,1
MW03,1,A,association,L,1,36,2,1,1
MW03,1,A,association,L,0,74,3,1,1
MW03,1,A,association,L,1,42,4,1,1
MW03,1,A,association,L,0,108,5,1,1
MW03,1,A,association,L,0,80,6,1,1
MW03,1,A,association,L,1,300,7,1,1
MW03,1,A,association,L,0,64,8,1,1
MW03,1,A,association,L,1,42,9,1,1
MW03,1,A,association,L,1,14,10,1,1
MW03,1,A,association,L,1,23,11,1,1
MW03,1,A,association,L,1,32,12,1,1
MW03,1,A,association,L,1,45,13,1,1
MW03,1,A,association,L,1,77,14,1,1
MW04,1,A,association,L,0,116,1,1,1
MW04,1,A,association,L,0,337,2,1,1
MW04,1,A,association,L,0,63,3,1,1
MW04,1,A,association,L,1,63,4,1,1
MW04,1,A,association,L,1,204,5,1,1
MW04,1,A,association,L,0,78,6,1,1
MW04,1,A,association,L,1,90,7,1,1
MW04,1,A,association,L,0,200,8,1,1
MW04,1,A,association,L,1,132,9,1,1
MW04,1,A,association,L,0,95,10,1,1
MW04,1,A,association,L,1,86,11,1,1
MW04,1,A,association,L,1,57,12,1,1
MW04,1,A,association,L,1,109,13,1,1
MW04,1,A,association,L,1,168,14,1,1
MW04,1,A,association,L,0,289,15,1,1
MW04,1,A,association,L,1,90,16,1,1
MW04,1,A,association,L,1,206,17,1,1
MW05,0,A,association,R,1,NA,1,1,1
MW05,0,A,association,R,1,46,2,1,1
MW05,0,A,association,R,1,32,3,1,1
MW05,0,A,association,R,0,145,4,1,1
MW05,0,A,association,R,1,59,5,1,1
MW05,0,A,association,R,0,83,6,1,1
MW05,0,A,association,R,1,26,7,1,1
MW05,0,A,association,R,1,57,8,1,1
MW05,0,A,association,R,1,24,9,1,1
MW05,0,A,association,R,1,24,10,1,1
MW06,1,A,association,L,1,128,1,1,1
MW06,1,A,association,L,1,85,2,1,1
MW06,1,A,association,L,1,78,3,1,1
MW06,1,A,association,L,1,130,4,1,1
MW06,1,A,association,L,1,103,5,1,1
MW06,1,A,association,L,0,177,6,1,1
MW06,1,A,association,L,0,47,7,1,1
MW06,1,A,association,L,1,283,8,1,1
