toad.id,sex,age,task.type,reward.position,choice,latency,trial,lt,learnt
MW01,1,A,reversal,L,1,64,1,1,1
MW01,1,A,reversal,L,0,109,2,1,1
MW01,1,A,reversal,L,1,63,3,1,1
MW01,1,A,reversal,L,0,74,4,1,1
MW01,1,A,reversal,L,1,NA,5,1,1
MW01,1,A,reversal,L,1,39,6,1,1
MW01,1,A,reversal,L,1,64,7,1,1
MW01,1,A,reversal,L,1,42,8,1,1
MW01,1,A,reversal,L,1,32,9,1,1
MW02,1,A,reversal,L,0,78,1,1,1
MW02,1,A,reversal,L,0,23,2,1,1
MW02,1,A,reversal,L,0,72,3,1,1
MW02,1,A,reversal,L,1,46,4,1,1
MW02,1,A,reversal,L,0,28,5,1,1
MW02,1,A,reversal,L,1,34,6,1,1
MW02,1,A,reversal,L,1,46,7,1,1
MW02,1,A,reversal,L,0,98,8,1,1
MW02,1,A,reversal,L,1,363,9,1,1
MW02,1,A,reversal,L,0,109,10,1,1
MW02,1,A,reversal,L,1,33,11,1,1
MW02,1,A,reversal,L,1,68,12,1,1
MW02,1,A,reversal,L,1,103,13,1,1
MW02,1,A,reversal,L,1,64,14,1,1
MW03,1,A,reversal,R,0,63,1,1,1
MW03,1,A,reversal,R,0,NA,2,1,1
MW03,1,A,reversal,R,0,NA,3,1,1
MW03,1,A,reversal,R,1,71,4,1,1
MW03,1,A,reversal,R,1,52,5,1,1
MW03,1,A,reversal,R,0,182,6,1,1
MW03,1,A,reversal,R,0,60,7,1,1
MW03,1,A,reversal,R,0,87,8,1,1
MW03,1,A,reversal,R,0,40,9,1,1
MW03,1,A,reversal,R,1,30,10,1,1
MW03,1,A,reversal,R,1,43,11,1,1
MW03,1,A,reversal,R,0,118,12,1,1
MW03,1,A,reversal,R,1,66,13,1,1
MW03,1,A,reversal,R,1,115,14,1,1
MW03,1,A,reversal,R,1,65,15,1,1
MW03,1,A,reversal,R,1,98,16,1,1
MW03,1,A,reversal,R,1,70,17,1,1
MW04,1,A,reversal,R,1,125,1,1,1
MW04,1,A,reversal,R,1,206,2,1,1
MW04,1,A,reversal,R,0,182,3,1,1
MW04,1,A,reversal,R,1,393,4,1,1
MW04,1,A,reversal,R,1,158,5,1,1
MW04,1,A,reversal,R,0,124,6,1,1
MW04,1,A,reversal,R,0,52,7,1,1
MW04,1,A,reversal,R,1,59,8,1,1
MW04,1,A,reversal,R,0,280,9,1,1
MW04,1,A,reversal,R,1,333,10,1,1
MW04,1,A,reversal,R,1,60,11,1,1
MW04,1,A,reversal,R,1,43,12,1,1
MW04,1,A,reversal,R,0,82,13,1,1
MW04,1,A,reversal,R,1,52,14,1,1
MW04,1,A,reversal,R,0,83,15,1,1
MW04,1,A,reversal,R,0,62,16,1,1
MW04,1,A,reversal,R,1,30,17,1,1
MW04,1,A,reversal,R,0,31,18,1,1
MW04,1,A,reversal,R,0,47,19,1,1
MW04,1,A,reversal,R,1,57,20,1,1
MW04,1,A,reversal,R,1,NA,21,1,1
MW04,1,A,reversal,R,1,50,22,1,1
MW04,1,A,reversal,R,1,52,23,1,1
MW04,1,A,reversal,R,1,278,24,1,1
MW04,1,A,reversal,R,1,315,25,1,1
MW05,0,A,reversal,L,0,168,1,1,1
MW05,0,A,reversal,L,0,80,2,1,1
MW05,0,A,reversal,L,0,48,3,1,1
MW05,0,A,reversal,L,0,48,4,1,1
MW05,0,A,reversal,L,1,235,5,1,1
MW05,0,A,reversal,L,1,301,6,1,1
MW05,0,A,reversal,L,1,325,7,1,1
MW05,0,A,reversal,L,1,659,8,1,1
MW05,0,A,reversal,L,1,420,9,1,1
MW05,0,A,reversal,L,0,120,10,1,1
MW05,0,A,reversal,L,1,190,11,1,1
MW05,0,A,reversal,L,1,178,12,1,1
MW06,1,A,reversal,R,1,98,1,1,1
MW06,1,A,reversal,R,0,217,2,1,1
MW06,1,A,reversal,R,0,28,3,1,1
MW06,1,A,reversal,R,0,145,4,1,1
MW06,1,A,reversal,R,0,59,5,1,1
MW06,1,A,reversal,R,1,204,6,1,1
MW06,1,A,reversal,R,0,162,7,1,1
MW06,1,A,reversal,R,1,NA,8,1,1
MW06,1,A,reversal,R,1,369,9,1,1
MW06,1,A,reversal,R,0,236,10,1,1
MW06,1,A,reversal,R,0,103,11,1,1
MW06,1,A,reversal,R,1,165,12,1,1
MW06,1,A,reversal,R,0,88,13,1,1
MW06,1,A,reversal,R,1,189,14,1,1
MW06,1,A,reversal,R,1,147,15,1,1
MW06,1,A,reversal,R,1,61,16,1,1
MW06,1,A,reversal,R,0,140,17,1,1
MW06,1,A,reversal,R,1,335,18,1,1
MW06,1,A,reversal,R,1,76,19,1,1
MW06,1,A,reversal,R,1,166,20,1,1
MW07,0,A,reversal,L,0,16,1,1,1
MW07,0,A,reversal,L,1,26,2,1,1
MW07,0,A,reversal,L,0,41,3,1,1
MW07,0,A,reversal,L,0,100,4,1,1
MW07,0,A,reversal,L,1,28,5,1,1
MW07,0,A,reversal,L,0,305,6,1,1
MW07,0,A,reversal,L,1,96,7,1,1
MW07,0,A,reversal,L,1,134,8,1,1
MW07,0,A,reversal,L,1,384,9,1,1
MW07,0,A,reversal,L,1,410,10,1,1
MW07,0,A,reversal,L,1,244,11,1,1
MW07,0,A,reversal,L,0,113,12,1,1
MW07,0,A,reversal,L,0,64,13,1,1
MW07,0,A,reversal,L,1,38,14,1,1
MW07,0,A,reversal,L,1,88,15,1,1
MW08,0,A,reversal,L,0,33,1,1,1
MW08,0,A,reversal,L,0,36,2,1,1
MW08,0,A,reversal,L,1,317,3,1,1
MW08,0,A,reversal,L,1,240,4,1,1
MW08,0,A,reversal,L,0,120,5,1,1
MW08,0,A,reversal,L,0,132,6,1,1
MW08,0,A,reversal,L,1,112,7,1,1
MW08,0,A,reversal,L,0,70,8,1,1
MW08,0,A,reversal,L,0,7,9,1,1
MW08,0,A,reversal,L,0,6,10,1,1
MW08,0,A,reversal,L,1,28,11,1,1
MW08,0,A,reversal,L,1,78,12,1,1
MW08,0,A,reversal,L,1,123,13,1,1
MW08,0,A,reversal,L,0,97,14,1,1
MW08,0,A,reversal,L,0,68,15,1,1
MW08,0,A,reversal,L,1,89,16,1,1
MW08,0,A,reversal,L,0,85,17,1,1
MW08,0,A,reversal,L,1,120,18,1,1
MW08,0,A,reversal,L,1,64,19,1,1
MW08,0,A,reversal,L,1,26,20,1,1
MW08,0,A,reversal,L,0,228,21,1,1
MW08,0,A,reversal,L,1,91,22,1,1
MW08,0,A,reversal,L,1,123,23,1,1
MW08,0,A,reversal,L,1,44,24,1,1
MW09,0,A,reversal,R,0,134,1,1,1
MW09,0,A,reversal,R,0,170,2,1,1
MW09,0,A,reversal,R,1,149,3,1,1
MW09,0,A,reversal,R,0,120,4,1,1
MW09,0,A,reversal,R,1,31,5,1,1
MW09,0,A,reversal,R,1,129,6,1,1
MW09,0,A,reversal,R,1,78,7,1,1
MW09,0,A,reversal,R,0,17,8,1,1
MW09,0,A,reversal,R,1,120,9,1,1
MW09,0,A,reversal,R,0,87,10,1,1
MW09,0,A,reversal,R,1,10,11,1,1
MW09,0,A,reversal,R,0,49,12,1,1
MW09,0,A,reversal,R,1,48,13,1,1
MW09,0,A,reversal,R,1,26,14,1,1
MW09,0,A,reversal,R,0,19,15,1,1
MW09,0,A,reversal,R,1,62,16,1,1
MW09,0,A,reversal,R,1,288,17,1,1
MW09,0,A,reversal,R,1,149,18,1,1
MW09,0,A,reversal,R,1,208,19,1,1
MW10,1,A,reversal,R,1,70,1,1,1
MW10,1,A,reversal,R,1,320,2,1,1
MW10,1,A,reversal,R,1,62,3,1,1
MW10,1,A,reversal,R,1,56,4,1,1
MW10,1,A,reversal,R,1,52,5,1,1
MW10,1,A,reversal,R,1,270,6,1,1
MW10,1,A,reversal,R,1,404,7,1,1
MW11,1,A,reversal,L,1,27,1,1,1
MW11,1,A,reversal,L,0,127,2,1,1
MW11,1,A,reversal,L,0,33,3,1,1
MW11,1,A,reversal,L,0,54,4,1,1
MW11,1,A,reversal,L,1,120,5,1,1
MW11,1,A,reversal,L,0,54,6,1,1
MW11,1,A,reversal,L,1,110,7,1,1
MW11,1,A,reversal,L,0,94,8,1,1
MW11,1,A,reversal,L,0,118,9,1,1
MW11,1,A,reversal,L,1,348,10,1,1
MW11,1,A,reversal,L,1,366,11,1,1
MW11,1,A,reversal,L,0,197,12,1,1
